"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
104,81,"HIPASSJ1328-48","run4/night2","16.03.2013","NGC_5156","bad guiding",0,"13h28m44.1s ","-48d55m01s","not used","few pixels to work","SB(r)bc             ","Sbc",0.009967,0.000013,2.3,2,12.49,154.88,0.751,110,140.7,10.1,0.851,0.082,"                    ",2987.6,2987.6,2988.4,2988.4,2984.9,2923.6,2817.2,2732.4,3219.1,2823.9,3132.9,1464.2,4520.1,"2823.9;3132.9",174.8,174.8,199.8,199.8,0.1201,17,0.0091,0.0067,0.0122,92,158,28,1,0,1,0,47283,1.37,0.03,0.07,0.04,0.97,0.02,55.9952580478," ",12.49," ",0.15,12.61,0.16,11.75,0.11,0.67," "," ",2981,"13284409-4855005",0.82,80,8.732,0.023,9.9,0.142,-21.459530307,-24.6846318605,0.7204098621,0.5287628371,31.9219027682,173.0749618552,169.6429618552,169.4269470763,320.4214350646,"None","None","None",,"None","None",,"None","None","None","None",1
105,81,"HIPASSJ1328-48","run4/night2","16.03.2013","NGC_5156","bad guiding",0,"13h28m44.1s ","-48d55m01s","not used","few pixels to work","SB(r)bc             ","Sbc",0.009967,0.000013,2.3,2,12.49,154.88,0.751,110,140.7,10.1,0.851,0.082,"                    ",2987.6,2987.6,2988.4,2988.4,2984.9,2923.6,2817.2,2732.4,3219.1,2823.9,3132.9,1464.2,4520.1,"2823.9;3132.9",174.8,174.8,199.8,199.8,0.1201,17,0.0091,0.0067,0.0122,92,158,28,1,0,1,0,47283,1.37,0.03,0.07,0.04,0.97,0.02,55.9952580478," ",12.49," ",0.15,12.61,0.16,11.75,0.11,0.67," "," ",2981,"13284409-4855005",0.82,80,8.732,0.023,9.9,0.142,-21.459530307,-24.6846318605,0.7204098621,0.5287628371,31.9219027682,173.0749618552,169.6429618552,169.4269470763,320.4214350646,"None","None","None",,"None","None",,"None","None","None","None",0
106,82,"HIPASSJ1329-17","run1/night1","22.05.2012","NGC_5170",,0,"13h29m48.8s ","-17d57m59s","not used","reduction issues","SA(s)c: sp          ","Sc",0.005006,0.000001,9.91,1.23,12.35,467.73,0.145,127,499.1,11.6,0.123,0.006,127,1503,1698,1501.6,1501.6,1510.6,1731.3,1403.3,1328.5,1813.4,1188.7,1832.5,200.1,3030.3,"1188.7;1832.5",513.5,123.4,536.5,536.5,0.2673,74.1,0.0067,0.0055,0.013,264,158,28,1,0,0,0,47396,1.92,0.01,0.91,0.02,1.33,0.04,128.2777253701,127,12.06," ",0.15,12.08,0.14,10.47,1.37,0.22,507,7,1569,"13294883-1757593",0.26,-53,7.628,0.032," ",0.08,-21.5650791069,-24.6614534648,0.0007463601,0.9996267503,88.4345079419,510.9422232305,507.5102232305,507.5348526786,507.72436064,"None","None","None",,"None","None",,"None","None","None","None",0
107,82,"HIPASSJ1329-17","run1/night1","22.05.2012","NGC_5170",,0,"13h29m48.8s ","-17d57m59s","not used","reduction issues","SA(s)c: sp          ","Sc",0.005006,0.000001,9.91,1.23,12.35,467.73,0.145,127,499.1,11.6,0.123,0.006,127,1503,1698,1501.6,1501.6,1510.6,1731.3,1403.3,1328.5,1813.4,1188.7,1832.5,200.1,3030.3,"1188.7;1832.5",513.5,123.4,536.5,536.5,0.2673,74.1,0.0067,0.0055,0.013,264,158,28,1,0,0,0,47396,1.92,0.01,0.91,0.02,1.33,0.04,128.2777253701,127,12.06," ",0.15,12.08,0.14,10.47,1.37,0.22,507,7,1569,"13294883-1757593",0.26,-53,7.628,0.032," ",0.08,-21.5650791069,-24.6614534648,0.0007463601,0.9996267503,88.4345079419,510.9422232305,507.5102232305,507.5348526786,507.72436064,"None","None","None",,"None","None",,"None","None","None","None",0
108,83,"HIPASSJ1329-33","run4/night3","17.03.2013","NGC_5161","bad weather + poor guiding",0,"13h29m13.9s ","-33d10m26s","not used","few pixels to work","SA(s)c:        HII  ","Sc",0.007969,0.00001,5.6,2.2,12,254.1,0.5,77,337.4,15.9,0.389,0.028,77,2389.9,2286.1,2390.1,2390.1,2385,2252.6,2242.8,2160.1,2664.3,2151.5,2606.6,1187.3,4090.4,"2151.5;2606.6;2161.6;2672.4",340.7,133.2,365.6,365.6,0.3236,71.1,0.0067,0.0061,0.0115,170,158,28,1,0,0,0,47321,1.75,0.02,0.41,0.03,1.24,0.05,104.268049725,77,12," ",0.2,12.06,0.16,11.22,0.61,0.19,341,6,2402,"13291390-3310258",0.59,59,8.633,0.044," ",0.059,-21.6235053822,-24.3718031706,0.1389571072,0.9279239693,68.1134781722,338.006426785,334.574426785,334.6117157919,360.6025136327,"None","None","None",,"None","None",,"None","None","None","None",1
109,83,"HIPASSJ1329-33","run4/night3","17.03.2013","NGC_5161","bad weather + poor guiding",0,"13h29m13.9s ","-33d10m26s","not used","few pixels to work","SA(s)c:        HII  ","Sc",0.007969,0.00001,5.6,2.2,12,254.1,0.5,77,337.4,15.9,0.389,0.028,77,2389.9,2286.1,2390.1,2390.1,2385,2252.6,2242.8,2160.1,2664.3,2151.5,2606.6,1187.3,4090.4,"2151.5;2606.6;2161.6;2672.4",340.7,133.2,365.6,365.6,0.3236,71.1,0.0067,0.0061,0.0115,170,158,28,1,0,0,0,47321,1.75,0.02,0.41,0.03,1.24,0.05,104.268049725,77,12," ",0.2,12.06,0.16,11.22,0.61,0.19,341,6,2402,"13291390-3310258",0.59,59,8.633,0.044," ",0.059,-21.6235053822,-24.3718031706,0.1389571072,0.9279239693,68.1134781722,338.006426785,334.574426785,334.6117157919,360.6025136327,"None","None","None",,"None","None",,"None","None","None","None",0
110,84,"HIPASSJ1405-03","run4/night4","18.03.2013","CGCG_018-043","Bad weather cond",0,"14h05m11.2s ","-03d22m11s","not used","few pixels to work","(R)Sa pec?          ","Sa",0.00541,0.00001,1.8,1.1,14.5,"                    ","                    ","                    ",106.7,24.6,0.646,0.113,"                    ",1620,1620,1618.1,1618.1,1621.7,1704.6,1577.6,1521.2,1891.9,1467,1761.8,200.1,3234.5,"1467.0;1761.8",216.4,216.4,240.9,240.9,0.0684,11.7,0.0068,0.0062,0.0122,367,158,28,1,1,0,0,50229,1.25,0.09,0.19,0.07," "," ",," "," "," "," ",13.8,0.2," ",0.19,0.08," "," "," ","14051123-0322114",0.56,-20,10.85,0.075,4.556,0.059,-18.616175686,-21.3972311136,0.408349618,0.7691881318,50.2810396696,215.2355755363,211.8035755363,211.804939022,275.3616836743,"None","None","None",,"None","None",,"None","None","None","None",1
111,84,"HIPASSJ1405-03","run4/night4","18.03.2013","CGCG_018-043","Bad weather cond",0,"14h05m11.2s ","-03d22m11s","not used","few pixels to work","(R)Sa pec?          ","Sa",0.00541,0.00001,1.8,1.1,14.5,"                    ","                    ","                    ",106.7,24.6,0.646,0.113,"                    ",1620,1620,1618.1,1618.1,1621.7,1704.6,1577.6,1521.2,1891.9,1467,1761.8,200.1,3234.5,"1467.0;1761.8",216.4,216.4,240.9,240.9,0.0684,11.7,0.0068,0.0062,0.0122,367,158,28,1,1,0,0,50229,1.25,0.09,0.19,0.07," "," ",," "," "," "," ",13.8,0.2," ",0.19,0.08," "," "," ","14051123-0322114",0.56,-20,10.85,0.075,4.556,0.059,-18.616175686,-21.3972311136,0.408349618,0.7691881318,50.2810396696,215.2355755363,211.8035755363,211.804939022,275.3616836743,"None","None","None",,"None","None",,"None","None","None","None",0
112,85,"HIPASSJ1405-39","run4/night1","15.03.2013","IC_4367 ",,0,"14h05m36.6s ","-39d12m12s","used?","few pixels to work","SB(rs)bc            ","Sbc",0.013643,0.000017,1.8,1.5,12.99,110.92,0.83,65,106.7,13,0.871,0.106,"                    ",4094.5,4094.5,4097.7,4097.7,4103.1,4111.9,3968,3888.5,4339,3989.8,4198.8,2604.9,5598.5,"3989.8;4198.8",87.9,87.9,117,117,0.1014,8.5,0.0071,0.0062,0.0115,130,158,28,1,0,0,0,50266,1.25,0.05,0.06,0.05," "," ",," "," "," "," ",12.99,0.21,12.75,0.08,0.14," "," ",4110,"14053656-3912121",0.96,-50,9.088,0.029,4.916,0.087,-21.1590432589,-24.9500571165,0.7550502993,0.4949239342,29.6647345992,86.7169210462,83.2849210462,80.7475695613,163.1514743556,128.8584701544,2.6641449378,"None",,"None","None","could be face on; doesn't show any rotation","None","None","None","None",1
113,85,"HIPASSJ1405-39","run4/night1","15.03.2013","IC_4367 ",,0,"14h05m36.6s ","-39d12m12s","used?","few pixels to work","SB(rs)bc            ","Sbc",0.013643,0.000017,1.8,1.5,12.99,110.92,0.83,65,106.7,13,0.871,0.106,"                    ",4094.5,4094.5,4097.7,4097.7,4103.1,4111.9,3968,3888.5,4339,3989.8,4198.8,2604.9,5598.5,"3989.8;4198.8",87.9,87.9,117,117,0.1014,8.5,0.0071,0.0062,0.0115,130,158,28,1,0,0,0,50266,1.25,0.05,0.06,0.05," "," ",," "," "," "," ",12.99,0.21,12.75,0.08,0.14," "," ",4110,"14053656-3912121",0.96,-50,9.088,0.029,4.916,0.087,-21.1590432589,-24.9500571165,0.7550502993,0.4949239342,29.6647345992,86.7169210462,83.2849210462,80.7475695613,163.1514743556,134.1497053094,2.9091489339,"None",,"None","None","could be face on; doesn't show any rotation","None","None","None","None",0
114,86,"HIPASSJ1406-34","run7/night2","30.05.2014","ESO_384G053","Less cloud",1,"14h06m35.49s","-34d18m41.8s","not used","ppxf didn't fit","SAB(rs)b            ","Sb",0.016168,0.000013,2.5,2,12.94,141.25,0.857,20,147.3,14.2,0.832,0.101,20,4849.6,4849.6,4857,4857,4855.5,4886.5,4731.1,4653.3,5101,4758.9,4956.9,3329.4,6389.1,"4758.9;4956.9",128.8,128.8,169.6,169.6,0.0629,7.2,0.0075,0.0065,0.0115,171,158,28,1,0,0,0,50325,1.39,0.04,0.08,0.05," "," ",,20," "," "," ",12.94,0.21,12.56,0.12,0.23," "," ",4881,"14063547-3418415",0.76,-20,8.985,0.05,5.888,0.066,-21.6843937509,-25.4208501877,0.6873285013,0.5591703664,33.9984424504,126.750694767,123.318694767,122.278627164,218.6786613011,"None","None","None",,"None","None",,"None","None","None","None",1
115,87,"HIPASSJ1408-32","run4/night3","17.03.2013","ESO_446G017","rotator has reach the limit in the sky frame + poor guiding",0,"14h07m59.1s ","-32d03m05s","used?","few pixels to work","(R)SB(rs)b          ","Sb",0.013793,0.000013,1.9,1.3,13.54,108.39,0.692,155,111.7,8,0.692,0.049,155,4268.6,4268.6,4186.2,4245.9,4209.8,4274.6,4091.3,4014.5,4458,4044.8,4325.6,2545.7,5763,"4044.8;4325.6",63.7,63.7,247.6,128.2,0.043,4.9,0.0087,0.0066,0.0138,172,158,28,2,0,0,0,50420,1.27,0.03,0.16,0.03," "," ",,155," "," "," ",13.54,0.21,12.99,0.21,0.31," "," ",4168,"14075907-3203047",0.48,-20,9.56,0.043,6.791,0.083,-20.9664170373,-24.5267950598,0.4710126748,0.7273151484,46.6617831712,62.8333397449,59.4013397449,55.6864707983,76.5644314122,137.5000063586,3.0271699566,130.677390065,,49.4899585584,7.427238555,,128.8994795437,125.4674795437,124.4861322723,171.1584483538,1
116,87,"HIPASSJ1408-32","run4/night3","17.03.2013","ESO_446G017","rotator has reach the limit in the sky frame + poor guiding",0,"14h07m59.1s ","-32d03m05s","used?","few pixels to work","(R)SB(rs)b          ","Sb",0.013793,0.000013,1.9,1.3,13.54,108.39,0.692,155,111.7,8,0.692,0.049,155,4268.6,4268.6,4186.2,4245.9,4209.8,4274.6,4091.3,4014.5,4458,4044.8,4325.6,2545.7,5763,"4044.8;4325.6",63.7,63.7,247.6,128.2,0.043,4.9,0.0087,0.0066,0.0138,172,158,28,2,0,0,0,50420,1.27,0.03,0.16,0.03," "," ",,155," "," "," ",13.54,0.21,12.99,0.21,0.31," "," ",4168,"14075907-3203047",0.48,-20,9.56,0.043,6.791,0.083,-20.9664170373,-24.5267950598,0.4710126748,0.7273151484,46.6617831712,62.8333397449,59.4013397449,55.6864707983,76.5644314122,137.523509749,2.8269116975,88.3713709256,,50.3306556778,7.1353259543,,87.1690482432,83.7370482432,81.2204523409,111.6716082628,0
117,88,"HIPASSJ1410-43","run4/night2","16.03.2013","NGC_5483","there could be a star in the sky frame",0,"14h10m25.0s ","-43d19m29s","not used",,"SB(s)c pec          ","Sc",0.005907,0.000007,3.7,3.4,11.93,199.53,0.917,25,222.9,15.9,0.912,0.065,25,1769.8,1769.8,1771.2,1771.2,1769.8,1718,1629.4,1549.8,1991.4,1602.6,1945.4,262.2,3284.9,"1602.6;1945.4",164.9,164.9,192.3,192.3,0.8933,126,0.0125,0.0109,0.0115,130,158,44,1,0,0,1,50600,1.57,0.03,0.04,0.03," "," ",,25," "," "," ",11.93,0.17,11.57,0.06,0.29,164,6,1762,"14102503-4319285",0.72,-45,8.458,0.037,8.024,0.082,-20.6762913972,-23.897870263,0.8293057743,0.4131515772,24.4029663184,163.9316557097,160.4996557097,160.1849958514,387.714835641,"None","None","None",,"None","None",,"None","None","None","None",1
118,88,"HIPASSJ1410-43","run4/night2","16.03.2013","NGC_5483","there could be a star in the sky frame",0,"14h10m25.0s ","-43d19m29s","not used",,"SB(s)c pec          ","Sc",0.005907,0.000007,3.7,3.4,11.93,199.53,0.917,25,222.9,15.9,0.912,0.065,25,1769.8,1769.8,1771.2,1771.2,1769.8,1718,1629.4,1549.8,1991.4,1602.6,1945.4,262.2,3284.9,"1602.6;1945.4",164.9,164.9,192.3,192.3,0.8933,126,0.0125,0.0109,0.0115,130,158,44,1,0,0,1,50600,1.57,0.03,0.04,0.03," "," ",,25," "," "," ",11.93,0.17,11.57,0.06,0.29,164,6,1762,"14102503-4319285",0.72,-45,8.458,0.037,8.024,0.082,-20.6762913972,-23.897870263,0.8293057743,0.4131515772,24.4029663184,163.9316557097,160.4996557097,160.1849958514,387.714835641,"None","None","None",,"None","None",,"None","None","None","None",0
119,89,"HIPASSJ1416-75","run1/night6","27.05.2012","IC_4377 ",,1,"14h16m58.8s ","-75d38m50s","used?","low snr","S0+:                ","S0",0.008721,0.000028,2.7,0.9," 14.2B","                    ","                    ","                    ",161.5,19.7,0.331,0.049,93,2614.5,2467.1,2598.8,2622.6,2610,2440.2,2436.7,2365.1,2716.9,2310.6,2891,1260.8,4328.1,"2310.6;2891.0",389.5,94.6,480.9,433.5,0.0551,13,0.0052,0.0048,0.0115,18,158,28,1,1,0,0,51013,1.43,0.05,0.48,0.06," "," ",,94," "," "," "," "," "," ",0,0.86," "," "," ","14165880-7538496",0.42,-85,9.724,0.039,2.495,0.174,"None",-23.4121954658,0.0966394274,0.950452825,71.8884021902,386.1325381349,382.7005381349,382.7331971478,402.685106576,77.8763214689,2.2836772918,"None",,"None","None","could be face on; doesn't show any rotation","None","None","None","None",1
120,90,"HIPASSJ1418-43","run1/night1","22.05.2012","NGC_5530",,0,"14h18m27.1s ","-43d23m19s","not used","reduction issues","SA(rs)c             ","Sc",0.003979,0.000007,4.2,1.9,11.87,291.74,0.436,127,250.1,17.9,0.468,0.033,127,1193.8,1193.8,1194.5,1194.5,1199.7,1304.9,1063.1,984.6,1414.5,987.7,1421.1,200.1,3030.3,"987.7;1421.1",264.1,264.1,285.8,285.8,0.2554,53.8,0.0064,0.0055,0.0115,130,158,28,1,0,0,0,51106,1.62,0.03,0.33,0.03," "," ",,127," "," "," ",11.87,0.16,10.95,0.48,0.43,267,6,491,,,,,,,0.115,-20.5580736422,"None",0.2073621778,0.8903020961,62.9112327088,263.053310876,259.621310876,259.6634293344,291.6576637123,"None","None","None",,"None","None",,"None","None","None","None",0
121,91,"HIPASSJ1427-33","run7/night1","29.05.2014","ESO_385G025",,1,"14h27m31.24s","-33d56m39.2s","not used?","ppxf found the center wrongly","SAB(r)c:            ","Sc",0.025564,0.00002,1.5,1.1,14.19,93.33,0.69,60,88.7,8.6,0.759,0.073,"                    ",7673.5,7673.5,7675.8,7675.8,7669.2,7608.3,7557.2,7482.9,7895.1,7490.5,7862.4,6074.6,9255.6,"7490.5;7862.4",288.6,288.6,312.9,312.9,0.0543,12.4,0.0091,0.0082,0.0138,172,158,28,1,0,0,0,51626,1.17,0.04,0.12,0.04," "," ",," "," "," "," ",14.19,0.21," ",0.18,0.31," "," "," ","14273124-3356389",0.4,75,10.48,0.088,2.406,0.083,-21.5005494342,-24.9987791745,0.5692369494,0.6563254152,41.0202265169,281.4061336006,277.9741336006,278.0168549822,423.5960524435,169.6980155558,110.2350979596,"None",,"None","None",,"None","None","None","None",1
122,92,"HIPASSJ1440-00","run1/night7","28.05.2012","NGC_5719","ccd got hot",0,"14h40m56.3s ","-00d19m06s","used",,"SAB(s)ab pec   NLAGN","Sab",0.005781,0.00001,3.01,1," 12.8g","                    ","                    ","                    ",194.2,9.2,0.363,0.026,107,1876,1876,1782.1,1782.1,1807.7,1864.8,1796.6,1750.5,2034,1428.2,2069,251.8,3511,"1428.2;2069.0",160.3,160.3,438.3,438.3,0.4401,105.8,0.0115,0.0102,0.013,368,158,36,1,0,1,1,52455,1.51,0.02,0.44,0.03," "," ",,107," "," "," ",13.1,0.2,12.43,0.54,0.11,393,7,1713,"14405639-0019054",0.38,-80,8.234,0.016,9.9,0.039,-19.8514128762,-24.1614768579,0.1191413087,0.9385407244,69.8079166767,159.3786321277,155.9466321277,155.5729208241,165.7604372241,129.3817597328,2.4509792495,161.798120282,,8.4847437474,4.0235894243,"Not ok to use rot vel; velocity disp map has two cores?",160.8681415557,157.4361415557,157.0825283666,167.3688997057,1
123,92,"HIPASSJ1440-00","run1/night7","28.05.2012","NGC_5719","ccd got hot",0,"14h40m56.3s ","-00d19m06s","used",,"SAB(s)ab pec   NLAGN","Sab",0.005781,0.00001,3.01,1," 12.8g","                    ","                    ","                    ",194.2,9.2,0.363,0.026,107,1876,1876,1782.1,1782.1,1807.7,1864.8,1796.6,1750.5,2034,1428.2,2069,251.8,3511,"1428.2;2069.0",160.3,160.3,438.3,438.3,0.4401,105.8,0.0115,0.0102,0.013,368,158,36,1,0,1,1,52455,1.51,0.02,0.44,0.03," "," ",,107," "," "," ",13.1,0.2,12.43,0.54,0.11,393,7,1713,"14405639-0019054",0.38,-80,8.234,0.016,9.9,0.039,-19.8514128762,-24.1614768579,0.1191413087,0.9385407244,69.8079166767,159.3786321277,155.9466321277,155.5729208241,165.7604372241,137.9488080177,2.8152795383,115.814484111,,8.9256176504,4.9244330815,"Not ok to use rot vel; velocity disp map has two cores?",115.1488088471,111.7168088471,110.3204345489,117.5446431726,0
124,93,"HIPASSJ1444+01","run1/night1","22.05.2012","NGC_5740",,0,"14h44m24.4s ","+01d40m47s","not used","reduction issues","SAB(rs)b       NLAGN","Sb",0.005243,0.000018,2.55,0.94," 12.8g","                    ","                    ","                    ",177.1,8.3,0.513,0.024,160,1571.7,1662.7,1573.7,1573.7,1575,1704.6,1572.6,1529.5,1794.7,1368.4,1776.8,200.1,3234.5,"1368.4;1776.8",327.3,145.3,358.7,358.7,0.1367,33.3,0.0065,0.0055,0.013,368,158,28,1,0,0,0,52641,1.47,0.02,0.29,0.02," "," ",,160,12.56," ",0.14,12.59,0.15,12.02,0.4,0.14,326,4,1567,"14442442+0140468",0.52,-25,8.878,0.025,5.301,0.037,-19.982026489,-23.2670965593,0.2522593336,0.8647199931,59.8507474879,325.5929163396,322.1609163396,322.1995566677,372.6056518313,"None","None","None",,"None","None",,"None","None","None","None",0
125,94,"HIPASSJ1500-14","run1/night6","27.05.2012","NGC_5809","offset from acq aperture slightly to avoid bright star",1,"15h00m52.3s ","-14d09m55s","used?","low snr","S0/a: sp       HII  ","S0a",0.009427,0.00001,1.4,0.7,14.51,"                    ","                    ","                    ",82.8,12.3,0.513,0.063,155,2826.6,2717.1,2826.6,2826.6,2825.2,2695.2,2786.5,2731.7,3029.6,2651,2998.1,1188.5,4338.1,"2651.0;2998.1",302.9,83.9,320.6,320.6,0.0904,16.9,0.0071,0.0058,0.0145,267,158,28,1,1,0,0,53624,1.14,0.06,0.29,0.05," "," ",,155," "," "," "," "," "," ",0.22,0.43," "," "," ","15005234-1409546",0.42,-25,10.312,0.035,2.544,0.111,"None",-23.0285585829,0.2522593336,0.8647199931,59.8507474879,300.0712285287,296.6392285287,296.6805976079,343.0944120491,56.4498355884,2.5181173356,112.00818915,,53.8473146416,13.990639912,"not so okay; few pixels to work",110.9621489716,107.5301489716,105.988911504,122.5702104196,1
126,95,"HIPASSJ1500+01","run2/night3","15.06.2012","NGC_5806","Bad seeing + clouds",1,"15h00m00.4s ","+01d53m29s","used",,"SAB(s)b        NLAGN","Sb",0.004533,0.000017,2.6,1.15," 12.5g","                    ","                    ","                    ",185.4,13.3,0.513,0.037,170,1357.4,1439.1,1328.9,1328.9,1339.7,1464.7,1348.5,1309.3,1538.4,1115.1,1553.6,200.1,3234.5,"1115.1;1553.6",323.1,159.7,403.4,403.4,0.0461,12.9,0.0077,0.0068,0.0138,369,158,28,1,0,0,0,53578,1.49,0.03,0.29,0.03," "," ",,170,12.4," ",0.2,12.43,0.14,11.84,0.4,0.17,307,5,1351,"15000043+0153285",0.42,-10,8.449,0.022,9.9,0.051,-19.8391100727,-23.3868456822,0.2522593336,0.8647199931,59.8507474879,321.6419968284,318.2099968284,318.2490733449,368.0371402271,109.670849923,2.7264040514,82.4120155452,,66.8435967683,11.6517133667,"okayish?",82.0401276466,78.6081276466,75.8520775936,87.7186582962,1
127,96,"HIPASSJ1513-14","run1/night7","28.05.2012","NGC_5878","ccd got hot",0,"15h13m45.7s ","-14d16m11s","used",,"SA(s)b              ","Sb",0.006641,0.000007,3.5,1.4,12.98,"                    ","                    ","                    ",208,9.8,0.417,0.03,360,1991.6,1839.1,1989.5,1989.5,1985.6,1798,1955.2,1903.4,2172.7,1694.4,2239.7,747.5,3642.1,"1694.4;2239.7",444.4,139.5,468.1,468.1,0.1299,36.2,0.0075,0.0069,0.0145,267,158,28,1,1,1,0,54364,1.54,0.02,0.38,0.03,1.12,0.1,79.0954043134,0,12.4," ",0.3,12.59,0.23,11.46,0.52,0.52,436,7,2111,"15134569-1416112",0.36,5,8.177,0.018,9.9,0.142,-20.8937417884,-24.4861723605,0.161708688,0.9155824988,66.2885854803,441.4682096199,438.0362096199,438.0647451206,478.4546949275,176.1070973784,2.0570412862,"None",,"None","None","rad_vel didn't work; didn't coverge well","None","None","None","None",1
128,96,"HIPASSJ1513-14","run1/night7","28.05.2012","NGC_5878","ccd got hot",0,"15h13m45.7s ","-14d16m11s","used",,"SA(s)b              ","Sb",0.006641,0.000007,3.5,1.4,12.98,"                    ","                    ","                    ",208,9.8,0.417,0.03,360,1991.6,1839.1,1989.5,1989.5,1985.6,1798,1955.2,1903.4,2172.7,1694.4,2239.7,747.5,3642.1,"1694.4;2239.7",444.4,139.5,468.1,468.1,0.1299,36.2,0.0075,0.0069,0.0145,267,158,28,1,1,1,0,54364,1.54,0.02,0.38,0.03,1.12,0.1,79.0954043134,0,12.4," ",0.3,12.59,0.23,11.46,0.52,0.52,436,7,2111,"15134569-1416112",0.36,5,8.177,0.018,9.9,0.142,-20.8937417884,-24.4861723605,0.161708688,0.9155824988,66.2885854803,441.4682096199,438.0362096199,438.0647451206,478.4546949275,171.8497681785,2.0595954414,"None",,"None","None","rad_vel didn't work; didn't coverge well","None","None","None","None",0
129,97,"HIPASSJ1515-36","run7/night3","31.05.2014","ESO_387G012","stars in the field??",1,"15h15m55.81s","-36d45m12.6s","used?","few pixels to work","S0                  ","S0",0.014451,0.000024,"      1.3:","       .9:",15.5,58.88,0.852,78,"                    ","                    ","                    ","                    ","                    ",4332.4,4298.9,4346.2,4346.2,4339.3,4301.8,4247.3,4180.7,4510,4176.9,4531.1,200.1,12500.4,"4176.9;4531.1",165.5,98.5,299.6,299.6,0.0692,11,0.0088,0.0076,0.013,173,158,28,1,0,0,0,,,,,,,,,,,,,,,,,,,,,"15155582-3645128",0.86,90,10.183,0.041,1.76,0.105,-34.0110943427,"None",1,0,0,163.142428762,159.710428762,159.3860339373,"None",148.547437484,2.146149105,52.8324572314,,156.356328669,11.772740709,,52.0798513003,48.6478513003,44.3643234308,"None",1
130,98,"HIPASSJ1518-38","run2/night4","16.06.2012","ESO_328G041",,1,"15h18m23.8s ","-38d30m24s","not used","low snr","(R')SB(r)ab         ","Sab",0.015606,0.000026,2.5,0.5," 14.1b","                    ","                    ","                    ",150.7,18.4,0.209,0.025,360,4678.7,4521.4,4678.6,4678.6,4673.8,4491.9,4578.7,4511.9,4838.9,4401.7,4952.6,3012.9,6359.2,"4401.7;4952.6",439.3,124.8,461.1,461.1,0.0588,16.9,0.0085,0.0071,0.0138,132,158,28,1,1,0,0,54637,1.4,0.05,0.68,0.05," "," ",,0," "," "," "," "," "," ",0.94,0.37," "," "," ","15182380-3830243",0.3,5,9.985,0.035,7.362,0.116,"None",-24.4490661358,0.0296789603,0.9850487499,80.0798331666,432.5496304669,429.1176304669,429.1467589693,435.6604269562,"None","None","None",,"None","None",,"None","None","None","None",1
